Season,TeamA,TeamB,Target,Split,WinPct_diff,AvgScore_diff,AvgOppScore_diff,TotalScore_diff,TrueMarginAvg_diff,ScoreVariance_diff,OTRate_diff,AvgOT_diff,MultiOTRate_diff,CloseWinPct_diff,CloseGamesCount_diff,NetRtg_diff,eFG_diff,TOVpct_diff,ORBpct_diff,FTr_diff,FTr_vs_OppAllowed_diff,StlPct_diff,BlkPct_diff,WinPct_last7_diff,WinPct_last10_diff,WinPct_last14_diff,WinPct_last21_diff,Margin_last7_diff,Margin_last10_diff,Margin_last14_diff,Margin_last21_diff,DaysSinceLastGame_diff,GamesLast7Days_diff,GamesLast14Days_diff,B2B_Last14Days_diff,SeedNum_diff,ConfStrength_diff,ConfWinPct_diff,ConfTeamCount_diff,ConfBidCount_diff,ConfTourneyGamesPlayed_diff,ConfTourneyWinPct_diff,ConfTourneyChampion_diff,DaysSinceConfFinal_diff,CoachTenureYears_diff,ProgramAge_diff,MasseyPct_diff,MasseyAvgRank_diff,Heavy_Favorite,Toss_Up,TeamA_Is_Favorite,TeamA_Is_Underdog,TeamA_Seed_Top4,TeamA_Seed_Mid,TeamA_Seed_Low,TeamA_Is_11_12_vs_5_6,TeamA_Is_5_6_vs_11_12,Round_Num,Is_FirstWeekend,Is_SecondWeekend,Is_FinalWeekend
2005,1448,1151,1,Train,0.20908004778972522,14.26523297491039,5.863799283154123,20.129032258064512,7.449856630824373,-0.9934197890824699,0.06451612903225806,0.06451612903225806,0.0,-0.09090909090909094,0,11.587016635616411,0.06437665153014976,-0.03886725467537158,0.013067009411308783,0.024725371326915102,-0.014689446145079305,0.01770857519930856,0.021490664697171535,0.1428571428571428,0.30000000000000004,0.2142857142857143,0.23809523809523803,13.714285714285714,13.2,9.104285714285712,9.476190476190474,4.0,-1,-1,-2,-13.0,10.92633774958066,0.1529519493555923,-1,4.0,-2.0,-1.0,-1,-6.0,3,0,0.486322188449848,-154.66666666666669,1,0,1,0,1,0,0,0,0,1,1,0,0
2004,1272,1329,0,Train,-0.14655172413793105,-4.635467980295573,2.0320197044335018,-2.603448275862064,-6.498128078817735,-2.258542104121256,-0.06896551724137931,-0.10344827586206896,-0.034482758620689655,-0.10416666666666663,4,-10.117893041596378,-0.06002867091470687,-0.010123501847604771,0.001382181689264128,-0.0008442318554029993,-0.014213854135269915,-0.00515171644975157,0.022623963722216825,-0.1428571428571428,-0.09999999999999998,-0.07142857142857151,-0.09523809523809523,2.3514285714285714,-3.0539999999999985,-2.1757142857142835,-4.653809523809524,4.0,-1,-1,-2,5.0,-1.4464308160296873,-0.015214379637456643,2,2.0,-2.0,-1.0,-1,3.0,-10,0,-0.08307692307692305,25.333333333333336,0,0,0,1,0,1,0,0,0,2,1,0,0
2010,1320,1242,1,Train,-0.06617647058823528,-18.452205882352942,-9.512867647058826,-27.965073529411768,-8.117757352941174,-5.546196233830429,-0.058823529411764705,-0.058823529411764705,0.0,0.08730158730158732,5,-9.67622436460477,-0.053006318279991305,-0.005151721685034333,-0.06957911203133837,-0.0627770370060266,-0.03318948792609014,-0.026543628896620236,-0.05759907621181005,-0.1428571428571428,-0.09999999999999998,-0.1428571428571429,-0.04761904761904767,-4.7142857142857135,-6.046,-4.999999999999999,-4.3552380952380965,0.0,0,0,0,8.0,-5.169333508010732,-0.07611746488718374,-2,-6.0,0.0,0.0,0,6.0,-3,0,-0.08815028901734112,27.5,0,0,0,1,0,1,0,0,0,2,1,0,0
2007,1172,1268,0,Train,0.12096774193548387,0.5,1.1159274193548328,1.615927419354847,1.3595362903225823,-2.1095146541793106,-0.03125,-0.03125,-0.0,0.08080808080808077,2,-0.6022672930653563,-0.0026773229446220848,-0.0137988779992817,-0.008258179233463836,-0.06203485796984565,-0.06354594762167681,0.00537126419922912,-0.05778558987992654,-0.0,0.19999999999999996,0.2142857142857143,0.23809523809523803,5.494285714285715,11.100000000000001,10.11,4.65,-4.0,1,2,3,9.0,-13.014007176041286,-0.20379862540607097,-1,-6.0,2.0,1.0,1,5.0,0,0,-0.17313432835820897,56.0,0,0,0,1,0,0,1,0,0,1,1,0,0
2015,1279,1462,0,Train,0.007352941176470562,-0.933823529411768,-0.1470588235294059,-1.0808823529411882,-0.8288970588235296,1.0121926649193398,-0.05514705882352941,-0.08455882352941177,-0.029411764705882353,0.17619047619047618,1,-0.8878160755427462,-0.04744350163965394,-0.017408122325086012,0.03338469341589906,-0.00967575072554383,-0.07682036746650497,0.008529089381449653,0.012934105755024607,-0.28571428571428575,-0.09999999999999998,-0.0,0.04761904761904767,-4.922857142857143,-2.6,-1.0714285714285716,2.727142857142857,4.0,-1,0,-1,5.0,-0.7675169440726703,-0.022173272647656006,4,-1.0,-2.0,-0.6666666666666666,0,2.0,3,0,-0.06857142857142862,20.333333333333336,0,0,0,1,0,0,1,1,0,1,1,0,0
2003,1443,1228,0,Train,-0.058064516129032295,-2.3365591397849528,5.019354838709681,2.6827956989247355,-6.95543010752688,0.5249513214845294,0.03225806451612903,0.03225806451612903,-0.0,0.10989010989010989,-1,-10.240443269787535,-0.018830987370586083,0.018895089511402507,0.04957908079919343,0.04920792926614981,0.09939382378703025,0.0017123358877067368,0.00694860966045039,0.1428571428571429,0.19999999999999996,0.0714285714285714,0.09523809523809523,-5.741428571428574,-4.219000000000003,-4.727857142857143,-2.736190476190477,-0.0,0,0,0,9.0,-3.5754795501968992,-0.0757144795374774,0,-4.0,-0.0,-0.0,0,5.0,2,0,-0.16564417177914104,50.0,0,0,0,1,0,0,1,0,0,1,1,0,0
2021,1452,1287,1,Train,-0.08333333333333337,9.18915343915343,8.111111111111114,17.300264550264558,-0.1801322751322756,-5.168550721706271,0.0026455026455026454,0.03968253968253968,0.037037037037037035,-0.25,-2,1.4285949147280341,-0.03202899620312283,-0.05966584532109945,0.03911026968373821,0.0305753707022674,-0.02477446414743753,0.03970729423589313,-0.03268240586460126,-0.2857142857142857,-0.20000000000000007,-0.2857142857142857,-0.19047619047619047,-3.845714285714286,-1.2460000000000004,-6.351428571428572,-4.303809523809524,4.0,-1,-1,-1,-11.0,6.530211355270318,0.13095843003230212,-2,6.0,-2.0,-1.0,-1,-5.0,9,0,0.2846820809248555,-102.25,1,0,1,0,1,0,0,0,0,1,1,0,0
2018,1155,1242,0,Train,-0.07536764705882348,-8.21875,-5.128676470588232,-13.347426470588232,-2.984742647058823,-4.9732280435823135,0.0625,0.0625,-0.0,-0.16176470588235292,5,-3.7847046548657524,-0.05228464082095419,0.011037429421188683,-0.017469191909763593,0.07441156643763247,0.05150113877181617,-0.011091393478598402,0.01274969768866889,-0.42857142857142855,-0.20000000000000007,-0.1428571428571429,-0.09523809523809523,-6.895714285714286,-2.073000000000001,-3.3049999999999997,0.39380952380952294,-0.0,0,0,-2,4.0,0.011369687350461177,-0.0014558914963834768,5,2.0,-1.0,-0.5,-1,1.0,-7,0,-0.03857142857142859,13.75,0,0,0,1,0,1,0,0,0,3,0,1,0
2011,1361,1396,1,Train,0.15625,0.09375,-3.25,-3.15625,3.8809375,0.40787652284948983,-0.03125,-0.03125,0.0,0.13492063492063489,-5,5.237964256887777,0.005163555995126856,0.005234748259518585,0.05609856278229347,-0.015370092359492049,-0.025174679368017497,-0.008383035834928887,0.00186496436122649,0.0,0.0,0.0,0.09523809523809523,-0.14285714285714235,0.7999999999999989,1.2528571428571453,1.5366666666666653,0.0,1,1,1,-5.0,2.44586547432423,0.03158849788622242,-5,0.0,1.0,0.5,1,0.0,7,0,0.08720930232558133,-29.5,0,0,1,0,1,0,0,0,0,2,1,0,0
2011,1427,1326,0,Train,-0.3894523326572008,-6.605476673428001,10.900608519269774,4.29513184584178,-15.198975659229207,-4.545482354880683,-0.029411764705882353,-0.029411764705882353,-0.0,-0.11111111111111105,9,-26.289923968759155,-0.06755424504374763,0.03732697746354016,-0.03668908053251757,0.02300889467470313,-0.14958873927594474,-0.010794511279520816,-0.016556235933790804,-0.1428571428571428,-0.20000000000000007,-0.2142857142857142,-0.38095238095238093,-6.505714285714285,-7.054,-8.785714285714286,-12.67047619047619,1.0,0,0,0,15.0,-9.470229746129432,-0.14974265859485553,1,-6.0,-0.0,-0.0,0,1.0,-2,0,-0.6337209302325582,215.25,0,0,0,1,0,0,1,0,0,1,1,0,0
