feature,men_corr,men_unique,women_corr,women_unique
AvgOT_diff,-0.11221389426921866,815,-0.1572417705209063,423.0
AvgOppScore_diff,-0.14856210240051732,2827,-0.15767943663008488,1872.0
AvgScore_diff,0.2316001716707268,2836,0.43690256128277427,1892.0
B2B_Last14Days_diff,-0.06011232184662814,9,0.005452608095022674,7.0
BlkPct_diff,0.20250317591168832,2898,0.32971665293850055,1922.0
CloseGamesCount_diff,-0.18681280418705992,29,-0.2765181008336225,27.0
CloseWinPct_diff,0.044364601286918166,927,-0.008493998539203077,499.0
CoachTenureYears_diff,0.15632821223677684,65,,
ConfBidCount_diff,0.2921361977282789,25,0.4253703351111814,23.0
ConfStrength_diff,0.3414286033060816,2898,0.4050279566411636,1922.0
ConfTeamCount_diff,0.19957386956794143,19,0.28357398097359204,21.0
ConfTourneyChampion_diff,-0.13310912766351754,3,-0.1496415063175404,3.0
ConfTourneyGamesPlayed_diff,-0.018788138327519802,9,0.025363123537195106,7.0
ConfTourneyWinPct_diff,-0.0894244555494943,17,-0.0826395271999357,17.0
ConfWinPct_diff,0.33683091709794405,2896,0.4204432302508449,1922.0
DaysSinceConfFinal_diff,-0.21612681427591535,17,0.2836594618393166,21.0
DaysSinceLastGame_diff,-0.03989868156630467,19,-0.08345717681817603,19.0
FTr_diff,-0.08882646638705297,2898,,
FTr_vs_OppAllowed_diff,0.056803338745356736,2898,0.21763597500615683,1922.0
GamesLast14Days_diff,0.04432255251957176,11,0.1521044632659363,7.0
GamesLast7Days_diff,0.03625138869410064,7,0.06001680705929444,7.0
Heavy_Favorite,0.34142972994818077,2,0.41104287348902147,2.0
Is_FinalWeekend,-6.7523433828754335e-18,2,-5.091917940451243e-17,2.0
Is_FirstWeekend,5.526670791038854e-18,2,5.4420304461470534e-18,2.0
Is_SecondWeekend,1.4589366363378088e-17,2,2.897974837878493e-17,2.0
Margin_last10_diff,0.14168030764169315,2231,0.23817271184474867,1740.0
Margin_last14_diff,0.17851330672850038,2413,0.25894340009071454,1786.0
Margin_last21_diff,0.24499845888577707,2602,0.3495958225706779,1847.0
Margin_last7_diff,0.13313768262402292,2191,0.2010785293418379,1705.0
MasseyAvgRank_diff,-0.4563663058765799,1483,,
MasseyPct_diff,0.45589401650634476,2257,,
MultiOTRate_diff,-0.09179362562042877,107,-0.07699315342417691,59.0
NetRtg_diff,0.401257585353482,2898,0.4728076356072223,1922.0
ORBpct_diff,0.20927982741790901,2898,0.3226281323768778,1922.0
OTRate_diff,-0.11821003106423764,667,-0.1720637622048622,355.0
ProgramAge_diff,0.19080403396187495,47,,
Round_Num,-7.570849214476588e-18,6,-4.5416791240592315e-17,6.0
ScoreVariance_diff,0.08499645079928106,2898,0.22872603676034847,1922.0
SeedNum_diff,-0.48231238489119477,29,-0.6240688199785175,27.0
StlPct_diff,0.0838999157877339,2898,0.04698602613299376,1922.0
TOVpct_diff,-0.21502787989004388,2898,-0.24877430240705287,1922.0
TeamA_Is_11_12_vs_5_6,-0.04334318887563559,2,-0.12472685658364482,2.0
TeamA_Is_5_6_vs_11_12,0.043343188875635576,2,0.12472685658364481,2.0
TeamA_Is_Favorite,0.4029922573140172,2,0.554978043546148,2.0
TeamA_Is_Underdog,-0.4029922573140162,2,-0.5549780435461472,2.0
TeamA_Seed_Low,-0.2845076624618868,2,-0.3910268761742295,2.0
TeamA_Seed_Mid,-0.07339161441148673,2,-0.09288171888726932,2.0
TeamA_Seed_Top4,0.3324139912569008,2,0.41804129997042194,2.0
Toss_Up,1.1716069292757278e-17,2,-6.3854839358954454e-18,2.0
TotalScore_diff,0.06119014285012384,2860,0.23429050901501014,1902.0
TrueMarginAvg_diff,0.3752819297139099,2896,0.47241856458265585,1922.0
WinPct_diff,0.3255869696799057,1767,0.3688563247337214,1321.0
WinPct_last10_diff,0.11436491265927796,21,0.1205406864604064,25.0
WinPct_last14_diff,0.14254993141308947,31,0.1614867924707785,33.0
WinPct_last21_diff,0.2126555441883403,57,0.2572221820734844,79.0
WinPct_last7_diff,0.10745608440887461,15,0.08235259463204879,19.0
eFG_diff,0.16981085002885524,2898,0.35477351488641856,1922.0
